;geometry
0;0.6847537;47.4185802
1;0.6838379;47.4183519
2;0.6801996;47.4199454
3;0.6831532;47.4180707
4;0.6801306;47.4202476
5;0.6835652;47.4182415
6;0.6836301;47.4183804
7;0.6803565;47.4193667
8;0.6796446;47.4194298
9;0.6835927;47.4183855
10;0.6830669;47.4181709
11;0.6829613;47.418288
12;0.6828346;47.4184352
13;0.6808504;47.4200357
14;0.6826339;47.4186638
15;0.6827308;47.4185559
16;0.6831845;47.4180342
17;0.6832639;47.4179484
18;0.6842073;47.4185912
19;0.6794314;47.4188706
20;0.6840427;47.4188547
21;0.6833121;47.4172773
22;0.6838219;47.4188918
23;0.6826691;47.419707
24;0.6818584;47.4177188
25;0.6812239;47.4205824
26;0.6823533;47.4174171
27;0.6813196;47.4191081
28;0.6808513;47.4190359
29;0.6823366;47.4178597
30;0.6826697;47.4187584
31;0.682704;47.4188163
32;0.6840027;47.4188881
33;0.6840503;47.4188787
34;0.6825479;47.416582
35;0.6842511;47.418681
36;0.6825797;47.4198622
37;0.6810843;47.4197687
38;0.6825297;47.4187814
39;0.6828944;47.4183585
40;0.6823473;47.4181371
41;0.6833074;47.4185195
42;0.6810652;47.4211711
43;0.6841678;47.4184677
44;0.6807756;47.4211319
45;0.6813665;47.4189472
46;0.6814086;47.4198106
47;0.6813788;47.4199265
48;0.6825393;47.416622
49;0.6802572;47.4178151
50;0.6837759;47.4189
51;0.6834083;47.4186431
52;0.6803177;47.421069
53;0.6811367;47.4209064
54;0.6817535;47.4209728
55;0.6836517;47.4185117
56;0.6848507;47.4185911
57;0.682651;47.4198687
58;0.6842098;47.4185365
59;0.6777623;47.4189445
60;0.6805681;47.4205196
61;0.6813665;47.4209312
62;0.6812623;47.4204274
63;0.6840017;47.4188655
64;0.6834588;47.4173639
65;0.6814139;47.4188045
66;0.6834345;47.4187461
67;0.6794643;47.4190183
68;0.683471;47.4172627
69;0.6834159;47.4173634
70;0.6838566;47.4184758
71;0.6839864;47.4187156
72;0.6835848;47.4186618
73;0.6794468;47.418946
74;0.6840129;47.4185653
75;0.6823029;47.4180259
76;0.6795288;47.4198704
77;0.6835488;47.4181897
78;0.6847719;47.418511
79;0.6835962;47.41821
80;0.6788265;47.4198631
81;0.6842258;47.4185852
82;0.6777559;47.4190124
83;0.6847908;47.4184395
84;0.6827369;47.4183988
85;0.6833654;47.4184496
86;0.6813884;47.4188828
87;0.6826504;47.4185287
88;0.683424;47.4186964
89;0.6837479;47.418773
90;0.6832407;47.4185904
91;0.6838035;47.418353
