idcar_200m;i_est_200;lcog_geo;noeud_delegue;lon_mid;lat_mid;ind;men;men_pauv;men_1ind;men_5ind;men_prop;men_fmp;ind_snv;men_surf;men_coll;men_mais;log_av45;log_45_70;log_70_90;log_ap90;log_inc;log_soc;ind_0_3;ind_4_5;ind_6_10;ind_11_17;ind_18_24;ind_25_39;ind_40_54;ind_55_64;ind_65_79;ind_80p;ind_inc
CRS3035RES200mN2728000E3599600;1;37067;5100202664;0.44922876;47.247173;3;1.6;0.1;0.5;0;1.3;0.1;73497.8;158.7;0;1.6;0.6;0.1;0.8;0.1;0;0;0.1;0;0;0.2;0;0.3;0.7;0.7;0.6;0.4;0
CRS3035RES200mN2728000E3600200;1;37067;2039081060;0.45709616;47.247868;15;6.9;0.6;1.6;0.2;6.5;0.6;360964;679.7;0;6.9;0.2;1.6;3.9;1.2;0;0;0.4;0.2;0.6;1;0.2;1.6;2.6;1.6;4.1;2.7;0
CRS3035RES200mN2728000E3600600;0;37067;3860923923;0.4623412;47.24833;85;26;0;1;2;18;5;1703364.5;2394;0;26;0;0;0;25;1;6;11.5;4.5;10.5;10.5;3;28;11;5;1;0;0
CRS3035RES200mN2728000E3606000;1;3701437205;874204542;0.5331574;47.25455;4;1.8;0.2;0.5;0.1;1.4;0;117611.8;175;0;1.8;0.5;0.2;0.3;0.8;0;0;0.2;0;0.1;0.2;0.3;0.7;0.5;0.6;0.9;0.5;0
CRS3035RES200mN2728000E3606200;1;3720537014;3144025349;0.53578055;47.254784;20;8.8;0.8;2.3;0.4;6.9;0;588058.9;875;0;8.8;2.3;1.2;1.5;3.8;0;0;0.8;0;0.4;1.1;1.5;3.5;2.7;3.1;4.6;2.3;0
CRS3035RES200mN2728000E3606400;0;37205;874306897;0.5384037;47.255013;37;15;3;6;1;11;0;864958;1291;0;15;10;1;2;2;0;0;4;2;3;0;4;8;4;5;6;1;0
CRS3035RES200mN2728000E3606600;0;37205;3860923952;0.54102683;47.25524;34;12;0;2;1;9;0;1032925.2;1345;0;12;5;1;4;2;0;0;1;0;3;5;3;5;9;0;7;1;0
CRS3035RES200mN2728000E3606800;1;37205;5499465253;0.54365;47.25547;2;0.9;0.1;0.2;0;0.7;0;58805.9;87.5;0;0.9;0.2;0.1;0.2;0.4;0;0;0.1;0;0;0.1;0.2;0.3;0.3;0.3;0.5;0.2;0
