idcar_200m;i_est_200;lcog_geo;noeud_delegue;lon_mid;lat_mid;ind;men;men_pauv;men_1ind;men_5ind;men_prop;men_fmp;ind_snv;men_surf;men_coll;men_mais;log_av45;log_45_70;log_70_90;log_ap90;log_inc;log_soc;ind_0_3;ind_4_5;ind_6_10;ind_11_17;ind_18_24;ind_25_39;ind_40_54;ind_55_64;ind_65_79;ind_80p;ind_inc
CRS3035RES200mN2728000E3619400;1;37250;-1;0.7089522;47.269794;27;9.8;1.4;1.8;1.1;8.2;0.9;640029.7;1211.8;0.4;9.4;3.2;0.2;2.3;4.1;0;0;1.6;0.9;1.5;4.2;1.8;3.7;6.4;3;1.8;2.1;0
CRS3035RES200mN2728000E3619600;1;37250;-1;0.7115767;47.27002;30;10.9;1.5;2;1.3;9.2;1;711144.1;1346.4;0.5;10.4;3.6;0.2;2.5;4.6;0;0;1.8;1;1.7;4.7;2;4.1;7.1;3.3;2;2.3;0
CRS3035RES200mN2728000E3621400;1;37266;-1;0.7351982;47.272045;29;10.5;0.4;1.8;0.8;8.9;1;821378;1192;0;10.5;2;0.6;4.7;3.2;0;0;1.6;0.2;0.8;2.8;3;3.5;7.3;5.1;3.9;0.8;0
CRS3035RES200mN2728000E3621600;1;37266;-1;0.7378229;47.27227;28;10.1;0.4;1.7;0.8;8.6;1;793054.6;1150.9;0;10.1;1.9;0.6;4.6;3;0;0;1.5;0.2;0.8;2.7;2.9;3.4;7;4.9;3.8;0.8;0
CRS3035RES200mN2728000E3622800;1;37266;-1;0.7535716;47.273617;1;0.4;0;0.1;0;0.4;0;30239.3;49.5;0;0.4;0.3;0;0;0.1;0;0;0;0;0.1;0.1;0.1;0.1;0.1;0.3;0.1;0.1;0
CRS3035RES200mN2728000E3623000;1;37266;-1;0.75619644;47.27384;9;3.3;0.1;0.3;0.4;2.9;0;225508.4;296.1;0;3.3;0.3;0.2;1.7;1.1;0;0;0.6;0.1;0.7;0.4;0.6;1.1;2.6;1;1.3;0.6;0
CRS3035RES200mN2728000E3624600;0;37104;-1;0.77719605;47.27563;32.5;14;0;1;0;13;2;829084.1;1461;1;13;13;1;0;0;0;0;2;0.5;0.5;1.5;2;6;4;5;7;4;0
CRS3035RES200mN2728000E3624800;1;37104;-1;0.7798211;47.275856;8;3.6;0;0.9;0.2;3.6;0.5;232704.8;447.1;0;3.6;1;0.3;1.6;0.7;0;0;0.1;0;0.3;0.4;0.4;1.3;1.5;2;1.5;0.5;0
CRS3035RES200mN2728000E3625400;1;37104;-1;0.7876963;47.276527;4;1.5;0.1;0.2;0.2;1.3;0.1;104558.6;195.9;0;1.5;0.7;0.2;0.4;0.2;0;0;0.1;0;0.2;0.5;0.4;0.4;0.9;0.5;0.7;0.3;0
CRS3035RES200mN2728000E3625600;1;37104;-1;0.79032147;47.27675;11;4.1;0.2;0.6;0.5;3.6;0.3;287536.1;538.6;0;4.1;2;0.5;1.1;0.5;0;0;0.4;0.1;0.5;1.2;1.1;1.1;2.5;1.3;1.9;0.9;0
CRS3035RES200mN2728000E3626800;0;37104;-1;0.8060726;47.27809;38;14;1;1;1;14;1;1004355.3;1670;0;14;0;0;7;7;0;0;0;0;2;4.5;3.5;1;12;8;6;1;0
CRS3035RES200mN2728000E3627000;0;37104;-1;0.8086979;47.278313;39;11;0;1;3;11;0;1298271.7;1711;0;11;0;0;0;11;0;0;1;1;5;5;4;4;12;3;4;0;0
CRS3035RES200mN2728000E3627400;1;37104;-1;0.81394845;47.27876;3;1.3;0;0.3;0;1.3;0;82818.9;169.2;0;1.3;0;0.1;0.8;0.4;0;0;0.1;0.1;0.2;0.1;0.1;0.5;0.5;0.4;0.7;0.3;0
CRS3035RES200mN2728000E3627600;1;37104;-1;0.8165738;47.27898;9;4;0;0.9;0;3.9;0;248456.7;507.7;0;4;0;0.3;2.6;1.1;0;0;0.1;0.3;0.6;0.4;0.3;1.6;1.4;1.3;2.1;0.9;0
CRS3035RES200mN2728000E3627800;1;37104;-1;0.81919914;47.279205;7;3.1;0;0.7;0;3;0;193244.1;394.9;0;3.1;0;0.2;2;0.9;0;0;0.1;0.2;0.5;0.3;0.2;1.2;1.1;1;1.7;0.7;0
CRS3035RES200mN2728000E3629000;1;37263;-1;0.83495164;47.28054;6;2.5;0.3;0.6;0.1;1.7;0.3;131324;210.7;0.5;2;0.7;0.2;0.6;1;0;0;0.2;0.1;0.6;0.3;0.7;1.6;0.9;0.6;1;0;0
CRS3035RES200mN2728200E3599200;1;37067;-1;0.4436548;47.248493;3;1.6;0.1;0.5;0;1.3;0.1;73497.8;158.7;0;1.6;0.6;0.1;0.8;0.1;0;0;0.1;0;0;0.2;0;0.3;0.7;0.7;0.6;0.4;0
CRS3035RES200mN2728200E3599400;1;37067;-1;0.4462773;47.248726;4;2.1;0.2;0.7;0;1.7;0.2;97997;211.6;0;2.1;0.8;0.2;1;0.1;0;0;0.1;0;0;0.3;0;0.4;0.9;0.9;0.9;0.5;0
CRS3035RES200mN2728200E3599600;1;37067;-1;0.4488998;47.248955;4;2.1;0.2;0.7;0;1.7;0.2;97997;211.6;0;2.1;0.8;0.2;1;0.1;0;0;0.1;0;0;0.3;0;0.4;0.9;0.9;0.9;0.5;0
CRS3035RES200mN2728200E3600200;1;37067;-1;0.45676747;47.24965;25;11.5;1;2.7;0.3;10.8;1;601606.7;1132.8;0;11.5;0.4;2.7;6.4;2;0;0;0.7;0.3;1;1.7;0.3;2.7;4.4;2.7;6.8;4.4;0
CRS3035RES200mN2728200E3600400;0;37067;-1;0.45939004;47.24988;82.5;30;2;2;2;28;5;1864672.6;3141;0;30;0;0;6;24;0;0;6;3;8;10.5;2;20;19;9;4;1;0
CRS3035RES200mN2728200E3600600;0;37067;-1;0.46201268;47.250114;109;37;2;5;2;22;7;2642778.8;3654;0;37;0;0;0;37;0;15;4;3;13.5;17.5;9;19;33;8;2;0;0
CRS3035RES200mN2728200E3600800;1;37067;-1;0.4646353;47.250343;4;1.8;0.2;0.4;0.1;1.7;0.2;96257.1;181.2;0;1.8;0.1;0.4;1;0.3;0;0;0.1;0;0.2;0.3;0.1;0.4;0.7;0.4;1.1;0.7;0
CRS3035RES200mN2728200E3601400;1;37067;-1;0.47250333;47.251038;2;0.9;0.1;0.3;0;0.7;0;44215;84.6;0.1;0.8;0.4;0.2;0.2;0.1;0;0;0.1;0.1;0;0.1;0.2;0.4;0.3;0.4;0.3;0.1;0
