;geometry
0;0.5999261;47.4017751
1;0.5904292;47.4025653
2;0.5908826;47.4016228
3;0.5911843;47.4026643
4;0.59147;47.4016934
5;0.5932684;47.4028708
6;0.5957268;47.3987538
7;0.6010214;47.404527
8;0.5969734;47.4050105
9;0.6061128;47.3994408
10;0.5977336;47.4056084
11;0.5908652;47.4038173
12;0.5903649;47.4038666
13;0.5969827;47.4079375
14;0.5967152;47.4083831
15;0.593268;47.4046078
16;0.5934767;47.4047258
17;0.5933989;47.4042789
18;0.6005271;47.4074715
19;0.6011711;47.4076226
20;0.5896329;47.4057721
21;0.600459;47.4019674
22;0.5921545;47.4039257
23;0.5985347;47.3990318
24;0.5984151;47.3991316
25;0.5962511;47.4013291
26;0.595395;47.4026967
27;0.5971697;47.4069602
28;0.5969588;47.4070175
29;0.596926;47.4068709
30;0.5909154;47.4047824
31;0.5970683;47.406838
32;0.5981164;47.3968274
33;0.6008402;47.3965668
34;0.5938268;47.4054326
35;0.5947029;47.4038936
36;0.5956374;47.4028541
37;0.5991058;47.3973382
38;0.6011432;47.4008283
39;0.5997032;47.4045479
40;0.596059;47.4019316
41;0.599014;47.3973185
42;0.6000611;47.4039924
43;0.5917947;47.4052987
44;0.5927382;47.4054269
45;0.5925152;47.3984086
46;0.5987434;47.3973078
47;0.5986857;47.3973115
48;0.601008;47.4010215
49;0.5907648;47.4055776
50;0.5989146;47.3973387
51;0.5931962;47.405426
52;0.5921291;47.4053391
53;0.5994782;47.4089245
54;0.5950664;47.3978639
55;0.5954053;47.4078932
56;0.5962151;47.4082113
57;0.600954;47.4039571
58;0.6010028;47.4040851
59;0.6008788;47.4043884
60;0.6008666;47.4044118
61;0.60089;47.4068725
62;0.5964473;47.3977184
63;0.6017034;47.4060217
64;0.5928378;47.4076997
65;0.6008325;47.4047083
66;0.600837;47.4045519
67;0.5966125;47.3967986
68;0.5939736;47.4076042
69;0.6008642;47.4044205
70;0.5967912;47.3971669
71;0.5906552;47.4046244
72;0.6005244;47.4040825
73;0.6003665;47.404638
74;0.6001097;47.3956828
75;0.6009788;47.395552
76;0.5965202;47.4031935
77;0.6005612;47.4042389
78;0.6006686;47.4040378
79;0.6004806;47.404228
80;0.6009152;47.4043269
81;0.6005839;47.4042413
82;0.6008315;47.3966542
83;0.5947978;47.4082651
84;0.6008034;47.4041955
85;0.5941872;47.4075107
86;0.6008724;47.4042765
87;0.6006615;47.4042497
88;0.6009012;47.3971898
89;0.5991034;47.4069717
90;0.6009925;47.4041207
91;0.6006283;47.4042468
92;0.5967691;47.4099478
93;0.6004873;47.4055855
94;0.5975616;47.4037899
95;0.5973968;47.4061899
96;0.5947214;47.408527
97;0.5935391;47.4072914
98;0.5981414;47.4102648
99;0.6065997;47.4022593
100;0.5987947;47.4068471
101;0.6068069;47.4022593
102;0.606322;47.4029411
103;0.595441;47.4095101
104;0.6065357;47.402945
105;0.6067536;47.4028416
106;0.6065461;47.4028342
107;0.5951972;47.4099405
108;0.5995958;47.4090731
109;0.6038104;47.4074313
110;0.6064737;47.4006021
111;0.5932301;47.4019198
112;0.5959041;47.4087208
113;0.5947305;47.4023004
114;0.603809;47.3976655
115;0.6025729;47.3975831
116;0.6051412;47.4057425
117;0.6064595;47.3979768
118;0.6010011;47.4047335
119;0.6014008;47.4045626
120;0.60183;47.4052619
121;0.6019873;47.4054104
122;0.6034557;47.4050052
123;0.603497;47.4048498
124;0.6049963;47.4048662
125;0.5904295;47.4049132
126;0.5907605;47.4050094
127;0.6049447;47.4058971
128;0.6061657;47.406017
129;0.5989884;47.4073457
130;0.5927317;47.4007081
131;0.5924177;47.4007027
132;0.5920674;47.4028904
133;0.6039646;47.3987496
134;0.5999161;47.3987326
135;0.6039811;47.4002053
136;0.6001245;47.3988353
137;0.5986808;47.4057108
138;0.5985104;47.4063507
139;0.6023087;47.4012733
140;0.605148;47.4024104
141;0.6035933;47.4011832
142;0.6002192;47.4032906
143;0.600257;47.4033122
144;0.6047781;47.4016141
145;0.6002049;47.4034674
146;0.5988771;47.4064695
147;0.599114;47.4057028
148;0.5992408;47.4064714
149;0.5981438;47.4026727
150;0.5982241;47.4063115
151;0.6061857;47.4016034
152;0.6051358;47.39683
153;0.6039337;47.396785
154;0.5912653;47.4077741
155;0.5926027;47.3993176
156;0.6062351;47.4027355
157;0.6056316;47.4016342
158;0.5971517;47.398919
159;0.5926289;47.4027804
160;0.6064213;47.4015994
161;0.6000118;47.4010669
162;0.5994541;47.4025068
163;0.6002866;47.4031773
164;0.6002765;47.4031471
165;0.599447;47.3988139
166;0.592223;47.4028619
167;0.5946133;47.4072135
168;0.5930664;47.3999334
169;0.5941292;47.4069735
170;0.59904;47.4029756
171;0.603992;47.4001823
172;0.5963912;47.4033215
173;0.5939884;47.406958
174;0.603592;47.3995394
175;0.5988175;47.4015494
176;0.5981241;47.4035031
177;0.5929511;47.3986882
178;0.5987624;47.4003417
179;0.6053891;47.4003442
180;0.5920595;47.3981835
181;0.5925661;47.3983691
182;0.6041431;47.3996618
183;0.6061368;47.4051644
184;0.598809;47.4021611
185;0.6077565;47.4058605
186;0.59548;47.3987543
187;0.6000392;47.4083439
188;0.599803;47.4017484
189;0.6034677;47.3998038
190;0.5955049;47.3984631
191;0.5991439;47.4092316
192;0.606654;47.4074188
193;0.6001142;47.4006912
194;0.5987049;47.4033235
195;0.5996743;47.402028
196;0.6075362;47.4063099
197;0.6000436;47.4034492
198;0.5969463;47.4036364
199;0.6007913;47.4087056
200;0.6001217;47.403475
201;0.5922782;47.3990066
202;0.5920245;47.3987969
203;0.5906106;47.3979282
204;0.5989323;47.3929889
205;0.6064785;47.4015987
206;0.6082963;47.3999042
207;0.6062035;47.4062378
208;0.6014428;47.4034084
209;0.6023581;47.4035727
210;0.602369;47.4035429
211;0.6024044;47.4034466
212;0.602253;47.3950612
213;0.5955266;47.3984313
214;0.5999248;47.4027481
215;0.5994201;47.4025834
216;0.5999782;47.4027042
217;0.6060646;47.4050946
218;0.6076103;47.4016567
219;0.6060899;47.4059978
220;0.5985223;47.4042033
221;0.5982562;47.4045752
222;0.6046193;47.40172
223;0.60629;47.4062441
224;0.6002253;47.3998349
225;0.6065246;47.4073278
226;0.6071654;47.397102
227;0.6055644;47.4037115
228;0.6056358;47.4035747
229;0.6060228;47.4034892
