start_node;end_node;distance;danger;converted;cyclability;section_id;way_id;is_following_way;facility;road_type;is_DSC;nodes;geometry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
482578111;482578112;13.0803820709;15.0424393815;False;3;115552042;40098145;False;;residential;False;[482578111;;482578112];[(0.6814086;;47.4198106);;(0.6813788;;47.4199265)];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
482578112;6801679171;56.3791417324;64.8360129923;False;3;115552043;40098145;False;;residential;False;[482578112;;6801679171];[(0.6813788;;47.4199265);;(0.6812623;;47.4204274)];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6801679171;5557937751;17.4746545705;20.095852756;False;3;115552044;40098145;False;;residential;False;[6801679171;;5557937751];[(0.6812623;;47.4204274);;(0.6812239;;47.4205824)];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5557937751;482537209;36.6180219592;42.1107252531;False;3;115552045;40098145;False;;residential;False;[5557937751;;482537209];[(0.6812239;;47.4205824);;(0.6811367;;47.4209064)];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
482578112;304322717;109.2746702836;142.0570713687;False;2;115552046;40098146;False;;service;False;[482578112;;5557909868;;482578114;;304322717];[(0.6813788;;47.4199265);;(0.6821431;;47.4200117);;(0.6825273;;47.4200522);;(0.6825797;;47.4198622)];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
482537212;6801679169;29.565695553;34.0005498859;False;3;115552074;40099169;False;;residential;False;[482537212;;5557937754;;6801679169];[(0.6817535;;47.4209728);;(0.6816788;;47.4209648);;(0.6813665;;47.4209312)];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6801679169;482537209;17.5577817098;20.1914489663;False;3;115552075;40099169;False;;residential;False;[6801679169;;482537209];[(0.6813665;;47.4209312);;(0.6811367;;47.4209064)];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1035649416;1035649202;144.3442259403;144.3442259403;True;4;115563670;89234332;False;piste;uni;cycleway;False;[1035649416;;1035649401;;1035649476;;1035649354;;1035649444;;1035649138;;1035649258;;1035649039;;1035649202];[(0.6794643;;47.4190183);;(0.6795564;;47.4190117);;(0.6797569;;47.4189888);;(0.6799764;;47.418969);;(0.6803919;;47.4189386);;(0.680634;;47.4189195);;(0.6808141;;47.418921);;(0.6810664;;47.4189317);;(0.6813665;;47.4189472)];;;;;;;;;;;;;;;;;;
1035649202;1035649408;158.664556548;158.664556548;True;4;115563671;89234332;False;piste;uni;cycleway;False;[1035649202;;5546252273;;5546252274;;1035649291;;1035649077;;5546252275;;1035649234;;1035649539;;1035649641;;1035649584;;1035649689;;1035649408];[(0.6813665;;47.4189472);;(0.68145;;47.4189415);;(0.6814969;;47.4189326);;(0.6815322;;47.4189288);;(0.6819108;;47.4189431);;(0.6820249;;47.4189453);;(0.6821619;;47.4189355);;(0.6823759;;47.4189104);;(0.6826607;;47.4188639);;(0.6829873;;47.4188113);;(0.6833273;;47.4187603);;(0.6834345;;47.4187461)]
1035649416;1035649492;8.1459907988;8.1459907988;True;4;115563672;89234341;False;piste;uni;cycleway;False;[1035649416;;1035649492];[(0.6794643;;47.4190183);;(0.6794468;;47.418946)];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
