;geometry
231;0.6104092;47.4124099
232;0.6016648;47.4103215
233;0.6016262;47.4102774
234;0.6019232;47.4103114
235;0.6021396;47.410222
236;0.6020645;47.410253
237;0.6122238;47.4103771
238;0.5947305;47.4023004
239;0.603809;47.3976655
240;0.6028102;47.4110143
241;0.6098108;47.4124654
242;0.6025729;47.3975831
243;0.6064595;47.3979768
244;0.6051412;47.4057425
245;0.5853583;47.4075253
246;0.6134397;47.3957365
247;0.6010011;47.4047335
248;0.6014008;47.4045626
249;0.60183;47.4052619
250;0.6019873;47.4054104
251;0.6034557;47.4050052
252;0.603497;47.4048498
253;0.6049963;47.4048662
254;0.5904295;47.4049132
255;0.5907605;47.4050094
256;0.6049447;47.4058971
257;0.6175147;47.3962215
258;0.6079029;47.3949531
259;0.6061657;47.406017
260;0.5887123;47.413778
261;0.6093231;47.3928299
262;0.5809417;47.3965859
263;0.6088627;47.3925592
264;0.6008325;47.4047083
265;0.5989884;47.4073457
266;0.6179656;47.4047065
267;0.5928876;47.4007903
268;0.6099287;47.4125277
269;0.5858063;47.4083863
270;0.6060864;47.3916382
271;0.5927317;47.4007081
272;0.6104086;47.4120772
273;0.5900041;47.4141377
274;0.5924177;47.4007027
275;0.608613;47.4107244
276;0.5875968;47.4013184
277;0.6072638;47.4169136
278;0.5893561;47.4129476
279;0.5920674;47.4028904
280;0.6039646;47.3987496
281;0.5999161;47.3987326
282;0.6051737;47.3924904
283;0.6039811;47.4002053
284;0.6132437;47.4095935
285;0.6001245;47.3988353
286;0.6202423;47.4043165
287;0.5986808;47.4057108
288;0.5927884;47.4153539
289;0.5985104;47.4063507
290;0.5908754;47.409821
291;0.6023087;47.4012733
292;0.6019297;47.4116099
293;0.5931199;47.390376
294;0.605148;47.4024104
295;0.6035933;47.4011832
296;0.5906378;47.389964
297;0.6093542;47.3928785
298;0.6002192;47.4032906
299;0.600257;47.4033122
300;0.6047781;47.4016141
301;0.6002049;47.4034674
302;0.5988771;47.4064695
303;0.599114;47.4057028
304;0.6102968;47.4120243
305;0.6202706;47.4041154
306;0.5981438;47.4026727
307;0.5992408;47.4064714
308;0.5982241;47.4063115
309;0.6004806;47.404228
310;0.6005612;47.4042389
311;0.5892638;47.4137583
312;0.6119112;47.4107432
313;0.5893502;47.4006528
314;0.6120182;47.4107846
315;0.6211929;47.4039865
316;0.6211643;47.4041378
317;0.5912653;47.4077741
318;0.6039337;47.396785
319;0.6212566;47.4038942
320;0.6051358;47.39683
321;0.5926027;47.3993176
322;0.6061857;47.4016034
323;0.5882522;47.3969738
324;0.6062351;47.4027355
325;0.6008034;47.4041955
326;0.6073853;47.3928541
327;0.6056316;47.4016342
328;0.6009152;47.4043269
329;0.5971517;47.398919
330;0.5926289;47.4027804
331;0.6064213;47.4015994
332;0.6000118;47.4010669
333;0.5994541;47.4025068
334;0.6002866;47.4031773
335;0.6005839;47.4042413
336;0.6002765;47.4031471
337;0.6006283;47.4042468
338;0.599447;47.3988139
339;0.605371;47.3917232
340;0.5946133;47.4072135
341;0.5941292;47.4069735
342;0.603592;47.3995394
343;0.5930664;47.3999334
344;0.59904;47.4029756
345;0.5939884;47.406958
346;0.5963912;47.4033215
347;0.608515;47.3974418
348;0.603992;47.4001823
349;0.5988175;47.4015494
350;0.6072876;47.3909191
351;0.5900905;47.3996374
352;0.6115699;47.4125366
353;0.5981241;47.4035031
354;0.5901796;47.3978795
355;0.6118728;47.4124397
356;0.5929511;47.3986882
357;0.5987624;47.4003417
358;0.6118897;47.4128205
359;0.6063521;47.4160201
360;0.5905729;47.3983616
361;0.5920595;47.3981835
362;0.5925661;47.3983691
363;0.6053891;47.4003442
364;0.6041431;47.3996618
365;0.599957;47.3917706
366;0.6061368;47.4051644
367;0.598809;47.4021611
368;0.6077565;47.4058605
369;0.59548;47.3987543
370;0.6000392;47.4083439
371;0.599803;47.4017484
372;0.6034677;47.3998038
373;0.5955049;47.3984631
374;0.5991439;47.4092316
375;0.5995669;47.411046
376;0.606654;47.4074188
377;0.6001142;47.4006912
378;0.5987049;47.4033235
379;0.6066939;47.4075263
380;0.6068837;47.4078781
381;0.5996743;47.402028
382;0.5907137;47.3915889
383;0.6075362;47.4063099
384;0.5907263;47.4101777
385;0.6000436;47.4034492
386;0.5919247;47.4097331
387;0.5969463;47.4036364
388;0.592223;47.4028619
389;0.5892224;47.4104827
390;0.6132779;47.3931319
391;0.6007913;47.4087056
392;0.5929196;47.4008281
393;0.6001217;47.403475
394;0.5887993;47.4107003
395;0.5902678;47.4095357
396;0.5895597;47.4100183
397;0.5922782;47.3990066
398;0.5920245;47.3987969
399;0.5903503;47.4107574
400;0.5970875;47.3893143
401;0.609884;47.407144
402;0.6019275;47.3917534
403;0.5906106;47.3979282
404;0.5989323;47.3929889
405;0.5969407;47.3930788
406;0.6064785;47.4015987
407;0.5976762;47.3893334
408;0.6082963;47.3999042
409;0.61044;47.4077056
410;0.6062035;47.4062378
411;0.6192672;47.3994829
412;0.6157219;47.4000381
413;0.6166363;47.3997948
414;0.6163422;47.4046369
415;0.6165276;47.4046375
416;0.6166941;47.4047424
417;0.6182582;47.3970763
418;0.616543;47.3975108
419;0.6014428;47.4034084
420;0.6165576;47.4043812
421;0.5846558;47.4010825
422;0.6023581;47.4035727
423;0.6163767;47.4047541
424;0.584639;47.4009202
425;0.6167705;47.4046476
426;0.602369;47.4035429
427;0.6024044;47.4034466
428;0.5846314;47.4010781
429;0.602253;47.3950612
430;0.6173514;47.3995517
431;0.5841636;47.3971924
432;0.5838333;47.3983141
433;0.5955266;47.3984313
434;0.5811526;47.4093007
435;0.589312;47.4124881
436;0.6043884;47.3895233
437;0.5856672;47.411987
438;0.617456;47.3995163
439;0.6054285;47.3936117
440;0.5966125;47.3967986
441;0.5999248;47.4027481
442;0.582972;47.4106751
443;0.5994201;47.4025834
444;0.5967912;47.3971669
445;0.5999782;47.4027042
446;0.6060646;47.4050946
447;0.590978;47.3991451
448;0.5933589;47.3918045
449;0.6076103;47.4016567
450;0.5988188;47.3917806
451;0.5843002;47.400302
452;0.6060899;47.4059978
453;0.5985223;47.4042033
454;0.5982562;47.4045752
455;0.6046193;47.40172
456;0.60629;47.4062441
457;0.6065408;47.4156683
458;0.6002253;47.3998349
459;0.6053732;47.391624
460;0.6065246;47.4073278
461;0.5983852;47.3906073
462;0.5974122;47.3896862
463;0.6069894;47.4078061
464;0.6068314;47.4079078
465;0.6071654;47.397102
466;0.6078129;47.4089219
467;0.6040617;47.3903042
468;0.5902993;47.397893
469;0.5926603;47.4089053
470;0.5890543;47.3981213
471;0.5808266;47.4080413
472;0.5947759;47.3900316
473;0.5839859;47.3968872
474;0.5839713;47.3970671
475;0.5840571;47.397266
476;0.5939453;47.4091879
477;0.5841147;47.3974569
478;0.5841464;47.3976323
479;0.5842429;47.3976299
480;0.6105958;47.4047578
481;0.5839903;47.3976363
482;0.5842198;47.3974623
483;0.5843279;47.3974732
484;0.6055644;47.4037115
485;0.6056358;47.4035747
486;0.5843237;47.40252
487;0.6109557;47.403576
488;0.6060826;47.4035486
489;0.6060228;47.4034892
490;0.6049721;47.4037733
491;0.6058242;47.4037524
492;0.6060034;47.4036488
493;0.5841793;47.3972741
494;0.5936345;47.4067608
495;0.5955188;47.40737
496;0.6063301;47.4028738
497;0.6075303;47.4088286
498;0.6061034;47.4028606
499;0.5840719;47.3970841
500;0.5914968;47.407543
501;0.5914133;47.4075559
502;0.5915308;47.4076212
503;0.5966085;47.4075678
504;0.5839343;47.3968722
505;0.5914186;47.4076296
506;0.5841733;47.3976769
507;0.594049;47.4076692
508;0.5909735;47.4092655
509;0.6079687;47.4094678
510;0.5939998;47.4078668
511;0.6074792;47.4086346
512;0.5842334;47.3976767
513;0.5978092;47.396108
514;0.5918062;47.4092718
515;0.5940381;47.4081131
516;0.6076429;47.4087915
517;0.5939535;47.4082024
518;0.6201016;47.4043441
519;0.6078361;47.4090523
520;0.6043641;47.4038501
521;0.596062;47.4084562
522;0.5837908;47.4012867
523;0.5819912;47.4052408
524;0.5949836;47.40589
525;0.5944421;47.396876
526;0.5840498;47.3966873
527;0.5965551;47.3964678
528;0.5970531;47.4092776
529;0.5923313;47.3989823
530;0.5971654;47.3991797
531;0.5968847;47.3991904
532;0.5810097;47.3966035
533;0.596304;47.4044669
534;0.5970428;47.4045357
535;0.5962661;47.3994682
536;0.5920233;47.407466
537;0.5970823;47.3872851
538;0.5970618;47.3872395
539;0.6109725;47.4108266
540;0.6132734;47.3953556
541;0.6146988;47.3953058
542;0.6024869;47.3966688
543;0.6145615;47.3951726
544;0.5862539;47.3999535
545;0.6189448;47.3994579
546;0.6055136;47.3906088
547;0.6136257;47.4037927
548;0.5866588;47.4007034
549;0.5867403;47.3999499
550;0.584769;47.3991624
551;0.5855602;47.4021682
552;0.6153118;47.3978055
553;0.6081276;47.3979589
554;0.6017034;47.4060217
555;0.5977113;47.3884119
556;0.5976017;47.3969637
557;0.5977214;47.396906
558;0.5977113;47.3891963
559;0.6001047;47.398642
560;0.604475;47.3987959
561;0.6009832;47.3986457
562;0.6040541;47.3996427
563;0.6013123;47.3988458
564;0.5998695;47.3973303
565;0.6066634;47.4006173
566;0.6009402;47.4105654
567;0.6072214;47.4082828
568;0.6063844;47.4086038
569;0.5996291;47.4050307
570;0.5999254;47.4049324
571;0.6009788;47.395552
572;0.5912527;47.4104686
573;0.5936524;47.4048076
574;0.5916698;47.4104958
575;0.5834349;47.4017353
576;0.5930777;47.4044675
577;0.5974698;47.3983954
578;0.592606;47.4107364
579;0.5946642;47.4108776
580;0.6011649;47.4035331
581;0.601146;47.4036025
582;0.5977385;47.3969999
583;0.5867788;47.3997454
584;0.5977011;47.399044
585;0.585473;47.4023473
586;0.58611;47.3997345
587;0.5905889;47.4000306
588;0.5861042;47.3995121
589;0.5855369;47.4026951
590;0.5902738;47.4007748
591;0.5987124;47.3994881
592;0.593167;47.4132125
593;0.6007424;47.4039028
594;0.6009248;47.4039264
595;0.6121038;47.4133326
596;0.6009501;47.4035053
597;0.6009087;47.4036486
598;0.599991;47.4040959
599;0.5999045;47.4042235
600;0.6005008;47.4041619
601;0.5998089;47.4043647
602;0.6004608;47.4042964
603;0.6004173;47.4044427
604;0.5932456;47.4059668
605;0.5924107;47.4059018
606;0.6015723;47.3980261
607;0.618394;47.3964283
608;0.6032626;47.399145
609;0.6037912;47.3979582
610;0.6175773;47.3961568
611;0.6058831;47.4083624
612;0.6088866;47.4111305
613;0.5955627;47.4034874
614;0.5950343;47.4033508
615;0.5907351;47.3897922
616;0.5930346;47.4052174
617;0.5889989;47.3965678
618;0.6001802;47.39938
619;0.6000981;47.3985878
620;0.5897276;47.3961842
621;0.602961;47.3986701
622;0.6016947;47.3981609
623;0.6019905;47.3980324
624;0.606341;47.4067394
625;0.6062627;47.4067555
626;0.6055315;47.4067285
627;0.5964977;47.4077458
628;0.5973454;47.4080809
629;0.5882956;47.3975305
630;0.5988364;47.4061538
631;0.6198149;47.4050305
632;0.6190249;47.4048987
633;0.6187049;47.4049474
634;0.6185023;47.4049773
635;0.6190594;47.4050069
636;0.6187412;47.4050558
637;0.6185362;47.4050889
638;0.6187768;47.4051622
639;0.6186669;47.4048338
640;0.58706;47.3972058
641;0.5880923;47.3983144
642;0.6190933;47.4051132
643;0.618809;47.4056812
644;0.5986937;47.407907
645;0.5986969;47.4078426
646;0.5987653;47.4078243
647;0.5988253;47.4078529
648;0.618567;47.4048495
649;0.6184905;47.4046097
650;0.6187588;47.4055239
651;0.619484;47.4059937
652;0.5986245;47.4059804
653;0.599015;47.4060375
654;0.5987849;47.4079247
655;0.5993653;47.4060885
656;0.5985515;47.4079583
657;0.5982218;47.4077788
658;0.60162;47.398976
659;0.6009733;47.3985656
660;0.5985193;47.4084118
661;0.6009702;47.3988409
662;0.600128;47.412927
663;0.6175806;47.4049137
664;0.6178329;47.4049692
665;0.6173426;47.4048613
666;0.6174384;47.4051996
667;0.6172045;47.4051499
668;0.6176912;47.4052534
669;0.5907804;47.3976636
670;0.6018768;47.4115543
671;0.6030834;47.3987822
672;0.5868985;47.3980268
673;0.6015725;47.3990597
674;0.5982793;47.4040973
675;0.5995586;47.408262
676;0.5993931;47.4082293
677;0.5897812;47.3970945
678;0.5909551;47.3976135
679;0.5992916;47.4029576
680;0.5993347;47.4082181
681;0.5992555;47.4084967
682;0.5994441;47.4081503
683;0.5994579;47.4082418
684;0.5993407;47.4086058
685;0.5850026;47.4001134
686;0.590232;47.3997525
687;0.5813099;47.396696
688;0.5980182;47.4110823
689;0.5954765;47.398366
690;0.5954918;47.3984438
691;0.5840689;47.4007236
692;0.593119;47.3988147
693;0.5878068;47.4007698
694;0.5883673;47.4008968
695;0.5832283;47.3986304
696;0.5864893;47.4005942
697;0.588092;47.3970051
698;0.5955744;47.3984938
699;0.5830898;47.4051037
700;0.6014962;47.3991496
701;0.5908652;47.4038173
702;0.5954851;47.3988631
703;0.5948903;47.3989051
704;0.6022084;47.3991941
705;0.5959569;47.4110836
706;0.5895715;47.3975265
707;0.6031254;47.3991077
708;0.6027184;47.3991843
709;0.5889158;47.3999173
710;0.600316;47.4031609
711;0.6030131;47.3991243
712;0.6001236;47.3957652
713;0.5999828;47.3965539
714;0.5998639;47.3972584
715;0.6000295;47.3980207
716;0.601653;47.3991974
717;0.6021945;47.3992597
718;0.6021899;47.3992779
719;0.5851542;47.4009774
720;0.5889542;47.3987456
721;0.5932286;47.3967403
722;0.6095719;47.4106873
723;0.6107362;47.4104518
724;0.6103793;47.4098452
725;0.610675;47.4067329
726;0.6077577;47.4090773
727;0.607563;47.4088186
728;0.6077029;47.4087724
729;0.6068428;47.4050762
730;0.6076533;47.4091121
731;0.5953918;47.3983075
732;0.5904784;47.4077959
733;0.6112737;47.4066032
734;0.6013979;47.4007952
735;0.607859;47.4050187
736;0.598598;47.3991788
737;0.5886637;47.402068
738;0.5894532;47.4014691
739;0.5850642;47.3969665
740;0.5852668;47.3978513
741;0.5894165;47.3966118
742;0.589349;47.3970649
743;0.5952319;47.3898166
744;0.6088724;47.4066047
745;0.5949247;47.3912353
746;0.5948575;47.3985101
747;0.6013447;47.4010866
748;0.5932886;47.3913357
749;0.601714;47.401067
750;0.5944847;47.391566
751;0.5872227;47.3986745
752;0.602036;47.4009564
753;0.5887865;47.3958508
754;0.602247;47.4008271
755;0.5898452;47.3959119
756;0.6092644;47.4063662
757;0.5909217;47.3976203
758;0.5986874;47.3999879
759;0.5989085;47.4008767
760;0.5912139;47.3980254
761;0.6091217;47.4064402
762;0.609456;47.4062617
763;0.5855501;47.4021889
764;0.6023489;47.4006491
765;0.5995572;47.4054726
766;0.5988931;47.4053366
767;0.6118002;47.4065373
768;0.6088485;47.4063933
769;0.6090595;47.406474
770;0.6064531;47.4157132
771;0.6091333;47.4064787
772;0.6064939;47.4158905
773;0.6023159;47.4007573
774;0.606702;47.4156787
775;0.6067445;47.4158735
776;0.6102668;47.4058431
777;0.5985824;47.4061169
778;0.6040833;47.409784
779;0.6033261;47.409569
780;0.6034799;47.4097457
781;0.6034091;47.4097732
782;0.6032543;47.4095978
783;0.5987196;47.4061388
784;0.6044089;47.4095768
785;0.5985501;47.4064115
786;0.6038989;47.4095775
787;0.6098859;47.4123905
788;0.6099486;47.41207
789;0.5922458;47.4027551
790;0.6102176;47.4120934
791;0.6042312;47.3941445
792;0.5942144;47.3922703
793;0.5993094;47.403045
794;0.5999976;47.4033685
795;0.5963014;47.4018707
796;0.6002847;47.4034069
797;0.5987827;47.4062431
798;0.6087054;47.4092918
799;0.5841548;47.3986571
800;0.5987535;47.4020918
801;0.6081324;47.408723
802;0.6114996;47.3990865
803;0.5890168;47.3975355
804;0.5880959;47.3958109
805;0.6001204;47.3957238
806;0.6000236;47.4083635
807;0.60173;47.39663
808;0.5983058;47.3967652
809;0.5989229;47.408182
810;0.5923157;47.4033141
811;0.5947882;47.4035162
812;0.5966474;47.4020806
813;0.598253;47.397157
814;0.601664;47.3971798
815;0.5839713;47.3974495
816;0.603737;47.3980937
817;0.6070632;47.3995736
818;0.5843421;47.397282
819;0.5865983;47.3972566
820;0.6074895;47.3988543
821;0.5862775;47.401126
822;0.5839315;47.3972576
823;0.5971128;47.3884716
824;0.5839384;47.3970615
825;0.6001539;47.3991095
826;0.6101768;47.4069769
827;0.5843496;47.3970809
828;0.5842397;47.3970926
829;0.5841259;47.3970597
830;0.594927;47.4082346
831;0.600881;47.4010032
832;0.585277;47.40112
833;0.5894663;47.4101783
834;0.5905894;47.4103887
835;0.6006182;47.4015497
836;0.593219;47.3906434
837;0.5890387;47.4098925
838;0.5863218;47.3972494
839;0.5882289;47.4019311
840;0.588347;47.4019272
841;0.6128216;47.4064063
842;0.5882497;47.4018617
843;0.5962758;47.4018317
844;0.5957456;47.4001533
845;0.6091799;47.3896025
846;0.5820344;47.4100901
847;0.6093295;47.3898258
848;0.58822;47.4018857
849;0.5965183;47.4051182
850;0.5857751;47.3983153
851;0.5962233;47.4019548
852;0.5829844;47.4099832
853;0.5960495;47.4019467
854;0.5955299;47.4051261
855;0.6154607;47.3980492
856;0.5952775;47.4015778
857;0.6185036;47.404657
858;0.6007862;47.4034821
859;0.6009279;47.4035742
860;0.5964031;47.4020406
861;0.6112232;47.4111516
862;0.5974518;47.406083
863;0.6095467;47.3928497
864;0.6139662;47.4069082
865;0.6091629;47.3890713
866;0.6090231;47.4081269
867;0.602214;47.4047663
868;0.6028977;47.403654
869;0.6062055;47.4040333
870;0.6062556;47.4035652
871;0.6061245;47.4050928
872;0.5844299;47.4021949
873;0.6111537;47.403046
874;0.6105177;47.4047609
875;0.5851104;47.4020495
876;0.5830455;47.4016489
877;0.5887184;47.396166
878;0.5852729;47.3995805
879;0.5966578;47.4084869
880;0.6156952;47.4002506
881;0.5961884;47.4041681
882;0.592946;47.3950168
883;0.5906229;47.3916562
884;0.6127469;47.3942452
885;0.6131694;47.4053721
886;0.6096926;47.4089163
887;0.6094293;47.4085168
888;0.6049308;47.4039066
889;0.5968621;47.4018991
890;0.5916301;47.4009048
891;0.6169162;47.4046508
892;0.5919181;47.4008618
893;0.5957441;47.408987
894;0.5918581;47.4010467
895;0.5923652;47.4007516
896;0.6021466;47.4048975
897;0.6129355;47.4047884
898;0.5886488;47.4046128
899;0.6049754;47.4051091
900;0.5971921;47.4093822
901;0.5987206;47.4096747
902;0.5869298;47.4027196
903;0.6133704;47.4047466
904;0.616077;47.4046388
905;0.6062124;47.4062768
906;0.6179935;47.4046469
907;0.6001713;47.4044112
908;0.5890751;47.4059166
909;0.6011206;47.4035274
910;0.5891805;47.4069144
911;0.6011342;47.4034934
912;0.6001225;47.4045849
913;0.6061398;47.4062833
914;0.6034837;47.3986542
915;0.6028693;47.4000284
916;0.6034497;47.4014915
917;0.6103219;47.4124649
918;0.5987553;47.4059995
919;0.5987333;47.4062734
920;0.598926;47.4063164
921;0.6102738;47.4123531
922;0.6035278;47.4050109
923;0.6013806;47.4082185
924;0.6009804;47.4067475
925;0.6010814;47.4068982
926;0.601572;47.4069464
927;0.5935534;47.3996756
928;0.6003587;47.4078049
929;0.594558;47.400378
930;0.5940451;47.4012301
931;0.6007347;47.4075202
932;0.60111;47.4068381
933;0.5937234;47.4000915
934;0.5951513;47.4002607
935;0.5932541;47.3910564
936;0.5947016;47.4011018
937;0.5940748;47.4018911
938;0.5930595;47.399751
939;0.6020367;47.401251
940;0.5940581;47.4014879
941;0.6004695;47.40652
942;0.600041;47.4061759
943;0.6008774;47.4105907
944;0.6010124;47.4106449
945;0.6041187;47.4092435
946;0.6000823;47.4059789
947;0.6012775;47.4091405
948;0.6013534;47.4092654
949;0.6028522;47.4091359
950;0.6031387;47.4083156
951;0.6065943;47.4073133
952;0.5934304;47.400544
953;0.6044847;47.4050818
954;0.5947507;47.4035976
955;0.600524;47.4062767
956;0.5959362;47.4026177
957;0.6028184;47.4093321
958;0.5955286;47.4027835
959;0.5994318;47.4058838
960;0.5991484;47.397396
961;0.6033217;47.4029865
962;0.6036297;47.4090099
963;0.6012251;47.3993804
964;0.5928934;47.3995934
965;0.5999082;47.4064157
966;0.6056296;47.4072357
967;0.600732;47.4058863
968;0.5931486;47.3997348
969;0.6020977;47.41008
970;0.6004038;47.4059123
971;0.619292;47.3993632
972;0.5932495;47.3997193
973;0.602496;47.4089658
974;0.6035337;47.4089473
975;0.6042206;47.4058876
976;0.6024599;47.4088901
977;0.6035716;47.4077403
978;0.6076336;47.4074036
979;0.6021871;47.4086453
