;geometry
3231090188;(0.7265546, 47.3613479)
1110727700;(0.7351919, 47.3593849)
1800518165;(0.7353004, 47.3593891)
603567638;(0.7271544, 47.3563933)
603567636;(0.7271448, 47.3562895)
1934208539;(0.733102, 47.3617834)
603567654;(0.727287, 47.3597189)
57309235;(0.7330196, 47.3581112)
57309238;(0.7307712, 47.3589866)
57309240;(0.7303595, 47.3595111)
57309243;(0.7277352, 47.3591211)
5904525401;(0.7356842, 47.3564157)
5904525402;(0.7354574, 47.3565664)
5904525404;(0.7351666, 47.3567081)
5904525412;(0.7340103, 47.3572086)
3476239977;(0.7341477, 47.358753)
3476239979;(0.7343515, 47.3588691)
8259617906;(0.7271791, 47.3561952)
8259617907;(0.7271169, 47.3563797)
630669940;(0.7287248, 47.3558735)
630669946;(0.7293022, 47.355886)
3151456379;(0.726132, 47.3621115)
630669952;(0.7303144, 47.3560725)
630669958;(0.7307976, 47.3559181)
315118733;(0.7299316, 47.3599605)
1243140247;(0.7274089, 47.3637545)
1074008738;(0.7351068, 47.3566903)
1243140266;(0.7295471, 47.3593329)
1243140270;(0.72806, 47.3638462)
630470326;(0.7343921, 47.3588922)
3476238523;(0.7356249, 47.3563987)
3476238529;(0.7292844, 47.3572934)
9605745860;(0.7291035, 47.3584363)
9605745862;(0.7299057, 47.3585478)
9605427911;(0.7316339, 47.3628798)
658022088;(0.7315363, 47.3575479)
7595906761;(0.735792, 47.3598003)
9605427913;(0.7308014, 47.3624628)
658022091;(0.7315246, 47.3575912)
658022095;(0.7330305, 47.358043)
2505590479;(0.7328358, 47.3603636)
652378338;(0.7287617, 47.3647203)
630670051;(0.7292772, 47.3571198)
630670062;(0.7300159, 47.3573328)
630670065;(0.730072, 47.357275)
630480633;(0.7320337, 47.3549673)
1243223843;(0.7293845, 47.3556392)
1243161907;(0.7277393, 47.3608939)
1243161917;(0.729721, 47.3601987)
1243161923;(0.7289565, 47.3602106)
3229538632;(0.7275379, 47.3591572)
1104394057;(0.7319133, 47.3612402)
5312364372;(0.7276715, 47.3647029)
254008167;(0.7273697, 47.3595325)
630670188;(0.733773, 47.3572393)
2505590641;(0.7319005, 47.3627134)
2505590643;(0.7316797, 47.3628487)
1191376245;(0.7287118, 47.3563187)
8468676470;(0.730326, 47.3564893)
266016635;(0.7243714, 47.3589017)
315027323;(0.7278162, 47.3645305)
1800555391;(0.7269746, 47.3561557)
1191376262;(0.7303887, 47.356635)
598241162;(0.7242836, 47.3592183)
266016660;(0.7317531, 47.3567795)
1800555417;(0.7271219, 47.3561825)
1800555422;(0.7269852, 47.3562604)
610482591;(0.7248638, 47.359052)
1800555425;(0.726988, 47.3563142)
1800555428;(0.7269789, 47.3563367)
1191376297;(0.7317155, 47.3568853)
5521318829;(0.7275837, 47.3590341)
1800555437;(0.7272397, 47.3564209)
656299949;(0.7283274, 47.3560471)
1191376314;(0.7287005, 47.3564968)
656299962;(0.7354028, 47.35655)
656299967;(0.7294655, 47.3568607)
610482624;(0.7272842, 47.3570338)
656299969;(0.7294244, 47.3570749)
598241217;(0.7264991, 47.3614197)
610482628;(0.7255268, 47.3611075)
656299976;(0.7297014, 47.3570693)
666991563;(0.7340501, 47.3562255)
1800518094;(0.7324272, 47.3566804)
656299983;(0.7301308, 47.3568276)
666991568;(0.7345222, 47.356895)
656299984;(0.730415, 47.3565619)
666991570;(0.7347264, 47.3574542)
1891993557;(0.7288346, 47.3571196)
656299990;(0.7299348, 47.3574378)
1191376346;(0.7317812, 47.3566803)
656299997;(0.7338688, 47.3571769)
598182885;(0.7287042, 47.3564147)
1800518117;(0.7324063, 47.3568385)
1191376362;(0.7347037, 47.3575176)
598182890;(0.7323566, 47.3569174)
1800518122;(0.732324, 47.356985)
1191376371;(0.7336664, 47.357309)
630670330;(0.7293226, 47.3592837)
1800518139;(0.7347616, 47.3573769)
