;geometry
5502995460;(0.6796738, 47.3633245)
5502995461;(0.6797697, 47.3633085)
4743485962;(0.6792235, 47.3636429)
4743485963;(0.6805561, 47.3634395)
4743485964;(0.6807313, 47.3634471)
4743485967;(0.6814594, 47.363637)
3860923923;(0.6805277, 47.3627273)
3860923930;(0.6807495, 47.3632932)
3860923931;(0.6803274, 47.3633096)
3860923933;(0.6805763, 47.3633195)
3860923934;(0.6846541, 47.3633324)
3860923935;(0.6809546, 47.3633373)
3860923937;(0.6807367, 47.3634132)
3860923940;(0.6809787, 47.3634598)
5499465253;(0.6842483, 47.3638658)
5499465255;(0.6842203, 47.3638561)
3860923944;(0.6805395, 47.3634949)
3860923945;(0.6840424, 47.3635082)
3860923947;(0.6845866, 47.3635367)
3860923948;(0.6846623, 47.3635583)
2286133806;(0.6801369, 47.3645874)
3860923951;(0.6815067, 47.3635658)
3860923952;(0.6844278, 47.3635908)
3860923954;(0.6844536, 47.363603)
3860923955;(0.6845266, 47.3636292)
874306613;(0.6846592, 47.3632065)
5502995511;(0.679981, 47.3637339)
5502995515;(0.6792358, 47.3635838)
3144025170;(0.6809455, 47.3635361)
2039081043;(0.6791771, 47.3634567)
3144025172;(0.6792206, 47.363547)
3144025171;(0.680105, 47.3635705)
3144025174;(0.6814318, 47.3636786)
2039081047;(0.6794094, 47.3628412)
5469332051;(0.6844944, 47.3633196)
2039081049;(0.6785313, 47.3635401)
3144025179;(0.6799748, 47.363711)
3144025180;(0.6799353, 47.3637137)
5502995044;(0.6809676, 47.3634896)
2039081060;(0.6790451, 47.3636323)
5502995048;(0.6810261, 47.363351)
5502995049;(0.6810151, 47.3633762)
5502995056;(0.6810389, 47.3633215)
5502995057;(0.6811245, 47.3633406)
5469332094;(0.679678, 47.3633378)
5469332096;(0.679162, 47.3634056)
5469332097;(0.6795063, 47.3633553)
5502995087;(0.6801777, 47.3635822)
5502995089;(0.6801558, 47.3634673)
5502995109;(0.6801491, 47.3634234)
4226488997;(0.6811387, 47.3633183)
5502995110;(0.6801655, 47.3635354)
5100202664;(0.6777973, 47.3625287)
5509190827;(0.6796241, 47.3632941)
315129530;(0.6783381, 47.3637696)
558614735;(0.679649, 47.3636279)
558614737;(0.6799321, 47.3635999)
461603033;(0.6823153, 47.3629867)
873906920;(0.6801527, 47.3634366)
3790857964;(0.6799728, 47.3635299)
874209528;(0.6798336, 47.3637296)
3144025349;(0.6799643, 47.3639732)
873906954;(0.6800356, 47.3637139)
873906967;(0.6795522, 47.362406)
3406713129;(0.6771018, 47.3627)
3406713138;(0.6790245, 47.3624517)
3406713139;(0.6807234, 47.3634948)
874209595;(0.6794365, 47.3634975)
874306897;(0.684596, 47.3630525)
874204504;(0.6804507, 47.3635446)
874306906;(0.6846532, 47.3630341)
3424025947;(0.6845721, 47.3633295)
5469356892;(0.6779539, 47.3637917)
874204509;(0.6805104, 47.3634956)
5499464029;(0.6842283, 47.3638908)
9176768863;(0.6816141, 47.3637318)
9176768864;(0.6816427, 47.363688)
3746278756;(0.6795679, 47.3634921)
259101544;(0.6799582, 47.3635691)
259101545;(0.67978, 47.3636543)
874204538;(0.6797727, 47.3633228)
874204542;(0.6804017, 47.3634441)
5499464064;(0.6844513, 47.3637292)
9944313741;(0.6844697, 47.3633146)
874306960;(0.6845979, 47.3632046)
5499421105;(0.6843467, 47.3635301)
5509186997;(0.6785685, 47.3636747)
1239948726;(0.6774115, 47.3628528)
1239948728;(0.6809482, 47.3624392)
5502995426;(0.6797993, 47.363294)
5469360099;(0.6799355, 47.3637415)
5469360098;(0.6798507, 47.3637567)
5502995430;(0.6797746, 47.3632475)
5469360103;(0.6801037, 47.3635411)
5502995436;(0.6800986, 47.3634294)
3397883893;(0.6799152, 47.3634189)
3397883894;(0.6797892, 47.3633781)
3397883895;(0.6801704, 47.3635631)
5502995448;(0.6794308, 47.3634871)
3397883901;(0.6801002, 47.3634636)
